时间,播放量,累计粉丝,点赞,收藏,硬币,评论,弹幕,分享
2025/2/18,2079986,6907,87127,66237,29749,5356,30399,4247
2025/2/19,2086466,6929,87613,66595,29982,5393,30512,4298
2025/2/20,2092180,6938,87994,66845,30165,5399,30546,4323
2025/2/21,2099183,6958,88310,67201,30315,5414,30606,4345
2025/2/22,2108453,6994,88729,67572,30490,5426,30720,4355
2025/2/23,2114641,7006,89011,67790,30618,5439,30758,4377
2025/2/24,2118616,7015,89193,67951,30697,5396,30782,4394
2025/2/25,2122138,7028,89343,68064,30783,5406,30838,4402
2025/2/26,2125607,7048,89463,68154,30843,5408,30882,4407
2025/2/27,2128803,7064,89555,68243,30892,5411,30911,4415
2025/2/28,2134392,7077,89695,68450,30955,5412,30952,4425
2025/3/1,2143569,7096,90217,68826,31303,5451,31158,4443
2025/3/2,2152855,7119,90791,69169,31616,5488,31454,4473
2025/3/3,2157539,7125,91070,69332,31757,5507,31577,4491
2025/3/4,2162144,7143,91318,69480,31884,5526,31719,4503
2025/3/5,2166086,7150,91501,69605,31984,5539,31800,4509
2025/3/6,2169865,7160,91692,69734,32074,5546,32082,4520
2025/3/7,2174007,7166,91893,69893,32151,5554,32114,4529
2025/3/8,2183973,7183,92526,70243,32413,5589,32384,4559
2025/3/9,2196839,7227,93312,70816,32765,5624,32734,4580
2025/3/10,2205769,7263,93795,71182,33035,5650,32957,4599
2025/3/11,2211959,7283,94108,71411,33184,5656,33050,4610
2025/3/12,2216952,7302,94327,71623,33294,5666,33137,4618
2025/3/13,2221748,7332,94567,71838,33417,5682,33184,4628
2025/3/14,2231027,7348,94956,72369,33574,5689,33229,4645
2025/3/15,2241732,7375,95329,72836,33737,5695,33301,4657
2025/3/16,2247674,7400,95587,73045,33857,5706,33327,4669
2025/3/17,2252419,7413,95811,73169,33936,5709,33380,4681
2025/3/18,2255953,7422,95975,73279,33994,5717,33445,4686
2025/3/19,2259598,7431,96136,73388,34050,5722,33485,4693
2025/3/20,2262999,7441,96247,73475,34096,5730,33559,4698
2025/3/21,2266993,7446,96395,73627,34171,5729,33589,4707
2025/3/22,2272281,7461,96608,73800,34234,5740,33644,4714
2025/3/23,2276622,7472,96760,73930,34298,5744,33667,4721
2025/3/24,2279077,7483,96847,74011,34337,5745,33686,4724
2025/3/25,2282080,7486,96954,74099,34394,5747,33720,4729
2025/3/26,2285328,7496,97089,74192,34439,5752,33778,4738
2025/3/27,2288374,7508,97208,74294,34483,5755,33818,4741
2025/3/28,2293111,7524,97406,74511,34544,5762,33839,4747
2025/3/29,2301471,7544,97650,74797,34631,5763,33899,4759
2025/3/30,2325710,7764,100369,76217,37018,5828,36604,4993
2025/3/31,2353579,8003,103205,77798,39600,5958,38260,5295
2025/4/1,2372850,8152,105033,78859,41143,6043,38558,5465
2025/4/2,2387450,8253,106162,79558,41993,6114,38737,5573
2025/4/3,2450136,8421,108341,81856,43373,6175,38977,5762
2025/4/4,2472369,8560,110317,82991,44891,6215,39177,5951
2025/4/5,2488368,8652,111578,83653,45783,6248,39297,6060
2025/4/6,2497291,8695,112118,83960,46174,6275,39377,6112
2025/4/7,2502277,8723,112448,84178,46466,6277,39416,6147
2025/4/8,2507175,8745,112739,84352,46704,6291,39443,6172
2025/4/9,2511882,8771,113036,84541,46959,6305,39483,6205
2025/4/10,2516420,8789,113301,84705,47135,6308,39503,6237
2025/4/11,2526891,8826,114233,85224,47617,6352,39620,6291
2025/4/12,2541409,8889,115676,85948,48194,6412,39830,6363
2025/4/13,2551419,8911,116442,86353,48567,6436,39913,6410
2025/4/14,2558178,8933,116923,86601,48817,6454,39969,6435
2025/4/15,2564336,8944,117366,86859,49098,6477,40022,6469
2025/4/16,2570387,8957,117751,87104,49373,6495,40047,6510
2025/4/17,2576511,8993,118160,87361,49620,6505,40122,6549
2025/4/18,2584153,9023,118639,87655,49840,6514,40172,6574
2025/4/19,2593613,9055,119332,88041,50182,6525,40283,6619
2025/4/20,2601787,9088,119867,88366,50519,6549,40396,6651
2025/4/21,2606377,9112,120189,88557,50721,6553,40435,6678
2025/4/22,2611175,9124,120494,88699,50897,6563,40491,6708
2025/4/23,2615653,9135,120789,88856,51080,6565,40527,6730
2025/4/24,2619892,9154,121066,89030,51248,6573,40580,6749
2025/4/25,2625497,9175,121402,89253,51421,6589,40613,6780
2025/4/26,2631759,9195,121790,89511,51612,6593,40643,6793
2025/4/27,2634808,9208,121964,89622,51720,6598,40654,6816
2025/4/28,2637435,9216,122128,89721,51806,6601,40672,6822
2025/4/29,2640199,9221,122280,89804,51876,6606,40688,6834
2025/4/30,2644469,9228,122476,89979,51963,6608,40702,6843
2025/5/1,2649308,9235,122668,90122,52036,6611,40731,6854
2025/5/2,2653600,9239,122839,90257,52126,6620,40748,6863
2025/5/3,2657232,9245,122988,90365,52185,6623,40760,6873
2025/5/4,2664184,9275,123557,90678,52576,6695,40904,6918
2025/5/5,2679277,9387,124691,91364,53259,6812,41086,7024
2025/5/6,2687192,9436,125241,91684,53555,6867,41147,7080
2025/5/7,2693614,9468,125584,91905,53803,6907,41195,7110
2025/5/8,2701200,9508,126016,92135,53987,6943,41266,7140
2025/5/9,2706892,9549,126311,92322,54177,6954,41324,7163
2025/5/10,2712720,9578,126600,92525,54318,6964,41377,7186
2025/5/11,2717090,9597,126796,92636,54440,6977,41399,7200
2025/5/12,2720041,9614,126907,92748,54520,6984,41427,7212
2025/5/13,2722747,9630,127025,92839,54587,6988,41474,7218
2025/5/14,2725361,9644,127133,92915,54677,6994,41517,7228
2025/5/15,2728201,9654,127248,92997,54747,7001,41595,7234
2025/5/16,2731726,9663,127376,93113,54822,7005,41610,7242
2025/5/17,2736845,9683,127551,93263,54930,7016,41643,7253
2025/5/18,2740912,9704,127728,93382,55036,7031,41694,7268
